Tempo   |   E[N]          |     E[W]        |       Erro_little             |  Ocupação

100     | 3.851389        | 0.756658        | 0.00000000000014477308        | 0.809096
200     | 3.780087        | 0.747053        | -0.00000000000020738966       | 0.824185
300     | 3.479254        | 0.682207        | 0.00000000000045696780        | 0.823166
400     | 3.868267        | 0.766753        | 0.00000000000089128704        | 0.812753
500     | 4.062275        | 0.805687        | 0.00000000000097699626        | 0.806521
600     | 3.778639        | 0.753718        | -0.00000000000154321000       | 0.789268
700     | 3.721255        | 0.747669        | -0.00000000000222399876       | 0.786742
800     | 3.935058        | 0.788589        | -0.00000000000345323770       | 0.792127
900     | 3.747534        | 0.753862        | -0.00000000000379829501       | 0.787166
1000    | 3.641482        | 0.734170        | -0.00000000000415001367       | 0.782038
1100    | 3.705344        | 0.746088        | -0.00000000000502664577       | 0.785625
1200    | 3.687589        | 0.744216        | -0.00000000000631183994       | 0.783342
1300    | 3.653226        | 0.735055        | 0.00000000000063726802        | 0.781632
1400    | 3.570179        | 0.718966        | 0.00000000000601207972        | 0.778690
1500    | 3.558215        | 0.719316        | 0.00000000001116662318        | 0.779313
1600    | 3.469369        | 0.702390        | 0.00000000000887956375        | 0.775108
1700    | 3.598464        | 0.728781        | 0.00000000002087174877        | 0.777849
1800    | 3.633506        | 0.735032        | 0.00000000002173194957        | 0.780379
1900    | 3.620864        | 0.732188        | 0.00000000000696287472        | 0.780638
2000    | 3.707516        | 0.745529        | 0.00000000001179190079        | 0.782253
2100    | 3.807279        | 0.762109        | 0.00000000000271827005        | 0.786581
2200    | 3.801065        | 0.763824        | 0.00000000001070965538        | 0.785541
2300    | 3.770436        | 0.757645        | 0.00000000001602007416        | 0.785932
2400    | 3.769510        | 0.757056        | 0.00000000002052047421        | 0.785705
2500    | 3.714842        | 0.748417        | 0.00000000002660982545        | 0.784000
2600    | 3.740006        | 0.751470        | 0.00000000002212141581        | 0.787471
2700    | 3.696783        | 0.744263        | 0.00000000003079270172        | 0.786526
2800    | 3.692820        | 0.742915        | 0.00000000002508793173        | 0.785818
2900    | 3.659069        | 0.736640        | 0.00000000002906519470        | 0.785342
3000    | 3.626965        | 0.731096        | 0.00000000003058353570        | 0.783677
3100    | 3.620687        | 0.729266        | 0.00000000001307665087        | 0.784224
3200    | 3.608848        | 0.727866        | 0.00000000000933964017        | 0.783590
3300    | 3.592042        | 0.724158        | -0.00000000000003064216       | 0.783537
3400    | 3.605480        | 0.726179        | 0.00000000001238875669        | 0.784499
3500    | 3.579714        | 0.720762        | 0.00000000000792477195        | 0.782964
3600    | 3.538871        | 0.713522        | -0.00000000000005373479       | 0.780870
3700    | 3.570949        | 0.719479        | 0.00000000000561772850        | 0.783000
3800    | 3.541287        | 0.714727        | -0.00000000000603606054       | 0.782091
3900    | 3.593841        | 0.723779        | -0.00000000001211564182       | 0.785307
4000    | 3.576624        | 0.720005        | 0.00000000000423350244        | 0.785363
4100    | 3.544732        | 0.714629        | -0.00000000000390709687        | 0.784306
4200    | 3.527836        | 0.711018        | 0.00000000005288214311        | 0.784588
4300    | 3.532508        | 0.711465        | 0.00000000007514788791        | 0.784916
4400    | 3.504366        | 0.706622        | 0.00000000007964295889        | 0.783516
4500    | 3.520374        | 0.708927        | 0.00000000008999068157        | 0.784450
4600    | 3.508817        | 0.706710        | 0.00000000008176259669        | 0.783710
4700    | 3.574965        | 0.718940        | 0.00000000005643974177        | 0.785024
4800    | 3.566078        | 0.717340        | 0.00000000004269740117        | 0.784485
4900    | 3.551776        | 0.714438        | 0.00000000002835198742        | 0.783695
5000    | 3.521977        | 0.710047        | 0.00000000002571320934        | 0.781535
5100    | 3.503046        | 0.706343        | 0.00000000004592148883        | 0.780573
5200    | 3.531788        | 0.711502        | 0.00000000006065503655        | 0.781750
5300    | 3.520779        | 0.709430        | 0.00000000006466338576        | 0.781283
5400    | 3.508169        | 0.707239        | 0.00000000007623057741        | 0.781413
5500    | 3.500992        | 0.705328        | 0.00000000007740963426        | 0.781878
5600    | 3.509381        | 0.707027        | 0.00000000006139488917        | 0.782549
