Tempo   |   E[N]          |    E[W]         | Erro_little                   |  Ocupação

100     | 8.781514        | 1.695273        | -0.00000000000004796163       | 0.928305
200     | 8.234784        | 1.629037        | 0.00000000000008704149        | 0.923862
300     | 7.538206        | 1.499643        | -0.00000000000039879211       | 0.900076
400     | 6.976252        | 1.396647        | 0.00000000000019984014        | 0.890160
500     | 7.049241        | 1.412108        | -0.00000000000052935434       | 0.890527
600     | 7.037825        | 1.396856        | -0.00000000000108446585       | 0.890116
700     | 7.365921        | 1.475714        | -0.00000000000281819013       | 0.889665
800     | 7.170015        | 1.436517        | 0.00000000000006306067        | 0.891097
900     | 7.013645        | 1.405853        | 0.00000000000413269419        | 0.890909
1000    | 6.854584        | 1.376423        | 0.00000000000509015052        | 0.888004
1100    | 8.225229        | 1.642656        | -0.00000000000007993606       | 0.896607
1200    | 8.096223        | 1.620055        | 0.00000000000268585154        | 0.895045
1300    | 11.244483       | 2.224936        | 0.00000000000705391301        | 0.902900
1400    | 12.067371       | 2.386203        | 0.00000000001067945732        | 0.908999
1500    | 11.941394       | 2.371206        | 0.00000000001114486281        | 0.906562
1600    | 12.018059       | 2.385423        | 0.00000000000812327983        | 0.908278
1700    | 11.614797       | 2.316963        | 0.00000000000900790553        | 0.902071
1800    | 11.230481       | 2.244351        | 0.00000000001674926864        | 0.898568
1900    | 10.865416       | 2.171712        | 0.00000000000713562542        | 0.897007
2000    | 10.699509       | 2.129467        | -0.00000000000584421400       | 0.896904
2100    | 10.395067       | 2.069945        | -0.00000000000573585623       | 0.897276
2200    | 10.175461       | 2.030662        | -0.00000000000914468501       | 0.895654
2300    | 9.918484        | 1.983179        | -0.00000000000181010762       | 0.892984
2400    | 10.337850       | 2.059162        | -0.00000000000621014351       | 0.897473
2500    | 10.275548       | 2.049208        | 0.00000000000303934655        | 0.898889
2600    | 10.291418       | 2.050398        | -0.00000000000542321743       | 0.900765
2700    | 10.065275       | 2.011714        | -0.00000000001232614011       | 0.896933
2800    | 10.221502       | 2.038331        | -0.00000000001616307088       | 0.899560
2900    | 10.214035       | 2.034109        | 0.00000000000079936058        | 0.900104
3000    | 10.141078       | 2.024976        | -0.00000000000989608395       | 0.898925
3100    | 9.970853        | 1.989550        | -0.00000000003141664706       | 0.898610
3200    | 9.842293        | 1.966247        | -0.00000000000684430290       | 0.897036
3300    | 9.679951        | 1.937047        | -0.00000000001017497198       | 0.894617
3400    | 9.553306        | 1.912912        | 0.00000000000884803342        | 0.893440
3500    | 9.476459        | 1.893993        | 0.00000000001598721155        | 0.893915
3600    | 9.399873        | 1.878201        | 0.00000000001975308805        | 0.894550
3700    | 9.326549        | 1.863899        | 0.00000000002608935290        | 0.894948
3800    | 9.290088        | 1.857333        | -0.00000000000054178884       | 0.895404
3900    | 9.305165        | 1.861510        | -0.00000000000109956488       | 0.895112
4000    | 9.358149        | 1.871817        | -0.00000000004139621979       | 0.895963
4100    | 9.327058        | 1.865503        | -0.00000000002494893181        | 0.896009
4200    | 9.216986        | 1.843309        | -0.00000000002586020287        | 0.895335
4300    | 9.149260        | 1.829171        | -0.00000000000876276829        | 0.894772
4400    | 9.115185        | 1.824198        | -0.00000000001462119315        | 0.894987
4500    | 9.041698        | 1.809949        | -0.00000000002828315360        | 0.893575
4600    | 9.010788        | 1.803177        | -0.00000000004295408473        | 0.893427
4700    | 9.032984        | 1.804984        | -0.00000000003922906444        | 0.894683
4800    | 8.953158        | 1.787726        | -0.00000000005674039016        | 0.895582
4900    | 8.866194        | 1.771720        | -0.00000000003956301953        | 0.894253
5000    | 8.750621        | 1.751105        | -0.00000000004934008757        | 0.892314
5100    | 8.681823        | 1.736705        | -0.00000000003214495337        | 0.892163
5200    | 8.780958        | 1.754639        | -0.00000000002576605596        | 0.893764
5300    | 8.746386        | 1.748222        | -0.00000000001398881011        | 0.893232
5400    | 8.685985        | 1.737969        | 0.00000000001936584226        | 0.892855
5500    | 8.687486        | 1.737497        | 0.00000000000462030414        | 0.893169
5600    | 8.759511        | 1.751089        | 0.00000000002154898482        | 0.893747
5700    | 8.696935        | 1.737253        | 0.00000000002263433885        | 0.893927
5800    | 8.930188        | 1.780695        | 0.00000000003380229430        | 0.895761
5900    | 8.972211        | 1.788380        | 0.00000000002778577368        | 0.897030
6000    | 9.157604        | 1.822288        | 0.00000000001732125554        | 0.898702
6100    | 9.154955        | 1.822625        | -0.00000000001669597793        | 0.899530
6200    | 9.081540        | 1.808839        | -0.00000000002497024809        | 0.898419
6300    | 9.025082        | 1.797598        | -0.00000000004750866367        | 0.898877
6400    | 9.057660        | 1.804202        | -0.00000000007626788090        | 0.899758
6500    | 8.971357        | 1.789646        | -0.00000000007766054466        | 0.897767
6600    | 8.866701        | 1.772696        | -0.00000000007685585501        | 0.895386
6700    | 8.775124        | 1.755025        | -0.00000000011407763623        | 0.894688
6800    | 8.704011        | 1.742442        | -0.00000000011917222764        | 0.893978
6900    | 8.710888        | 1.742279        | -0.00000000014393819470        | 0.894139
7000    | 8.752055        | 1.749611        | -0.00000000016491519261        | 0.894768
7100    | 8.853894        | 1.769632        | -0.00000000017192469670        | 0.895929
7200    | 8.884961        | 1.774331        | -0.00000000014633805279        | 0.896869
7300    | 8.862876        | 1.770199        | -0.00000000015076828674        | 0.897237
7400    | 8.835934        | 1.764992        | -0.00000000019670132190        | 0.896958
7500    | 8.850311        | 1.767752        | -0.00000000014566126083        | 0.897289
7600    | 8.866865        | 1.772393        | -0.00000000018169110660        | 0.897616
7700    | 8.840912        | 1.768320        | -0.00000000018751222797        | 0.896879
7800    | 8.927079        | 1.783815        | -0.00000000020129142797        | 0.897983
7900    | 8.871131        | 1.773732        | -0.00000000015882939408        | 0.897532
8000    | 8.845084        | 1.767691        | -0.00000000016928858315        | 0.897770
8100    | 8.804611        | 1.759402        | -0.00000000014982681762        | 0.898003
8200    | 8.836499        | 1.764159        | -0.00000000010277823037        | 0.898789
8300    | 8.967706        | 1.789488        | -0.00000000010253842220        | 0.899991
8400    | 8.994524        | 1.793695        | -0.00000000015435297485        | 0.900648
8500    | 8.929726        | 1.781251        | -0.00000000011745449058        | 0.900413
8600    | 8.880825        | 1.772496        | -0.00000000012835954522        | 0.900182
8700    | 8.857854        | 1.768197        | -0.00000000011946710288        | 0.899884
8800    | 8.859654        | 1.768033        | -0.00000000005109868084        | 0.899627
8900    | 8.819706        | 1.760223        | -0.00000000001466027300        | 0.899524
9000    | 8.809387        | 1.757542        | -0.00000000005242561940        | 0.899941
9100    | 8.757593        | 1.748291        | -0.00000000004822098276        | 0.899126
9200    | 8.716074        | 1.740000        | -0.00000000002059685755        | 0.898857
9300    | 8.763442        | 1.748740        | -0.00000000000219912977        | 0.899587
9400    | 8.906680        | 1.776309        | 0.00000000001667288529        | 0.900568
9500    | 8.898839        | 1.775991        | -0.00000000001246824866        | 0.900488
9600    | 8.918250        | 1.779720        | -0.00000000002185807091        | 0.901050
9700    | 8.893650        | 1.774888        | 0.00000000002309974434        | 0.901382
9800    | 8.908166        | 1.776955        | -0.00000000000483701967        | 0.901903
9900    | 8.878375        | 1.771452        | 0.00000000000776090303        | 0.901968
10000    | 8.862531        | 1.768404        | 0.00000000001075761702        | 0.902465
10100    | 8.885988        | 1.771620        | 0.00000000000610889117        | 0.902594
10200    | 8.921958        | 1.777942        | 0.00000000001405986438        | 0.902960
10300    | 8.953797        | 1.783901        | -0.00000000003416111838        | 0.903089
10400    | 8.978716        | 1.788452        | -0.00000000006348166437        | 0.903566
10500    | 9.123006        | 1.816780        | 0.00000000002498268259        | 0.904322
10600    | 9.226249        | 1.837035        | -0.00000000005695710570        | 0.905134
10700    | 9.222477        | 1.836531        | 0.00000000001385735970        | 0.904766
10800    | 9.198884        | 1.831738        | 0.00000000001454658616        | 0.904600
10900    | 9.175861        | 1.828195        | -0.00000000000714450721        | 0.904454
11000    | 9.132516        | 1.820380        | -0.00000000004861000491        | 0.904087
11100    | 9.074997        | 1.810107        | 0.00000000004606448556        | 0.903277
11200    | 9.019857        | 1.799986        | 0.00000000005860734120        | 0.902515
11300    | 9.047112        | 1.805460        | 0.00000000001995914545        | 0.902759
11400    | 9.013361        | 1.798917        | 0.00000000001052846699        | 0.902877
11500    | 8.973779        | 1.792480        | -0.00000000002647482233        | 0.902363
11600    | 8.983672        | 1.793117        | 0.00000000002433608870        | 0.902953
11700    | 9.211334        | 1.836678        | -0.00000000003211830801        | 0.903787
11800    | 9.252495        | 1.844528        | -0.00000000004047606694        | 0.904015
11900    | 9.237524        | 1.841501        | -0.00000000007402967128        | 0.903917
12000    | 9.201702        | 1.835049        | -0.00000000004654943098        | 0.903382
12100    | 9.195028        | 1.833128        | -0.00000000003440270291        | 0.903928
12200    | 9.174516        | 1.829026        | -0.00000000007261391488        | 0.904012
12300    | 9.167487        | 1.828028        | -0.00000000006519051965        | 0.903889
12400    | 9.180379        | 1.830967        | -0.00000000005772804457        | 0.904191
12500    | 9.459174        | 1.885319        | -0.00000000000344080320        | 0.904951
12600    | 9.513344        | 1.895658        | -0.00000000006209965875        | 0.905610
12700    | 9.552731        | 1.903741        | -0.00000000019933388273        | 0.905832
12800    | 9.505045        | 1.895471        | -0.00000000016282264426        | 0.904581
12900    | 9.477691        | 1.890584        | -0.00000000020050094918        | 0.904173
13000    | 9.442616        | 1.883915        | -0.00000000022795099142        | 0.903846
13100    | 9.401148        | 1.875705        | -0.00000000024283330902        | 0.903527
13200    | 9.434604        | 1.881447        | -0.00000000020962254155        | 0.904081
13300    | 9.413868        | 1.877269        | -0.00000000016877343967        | 0.903989
13400    | 9.377421        | 1.869290        | -0.00000000016152590376        | 0.903670
13500    | 9.348244        | 1.863575        | -0.00000000020883028640        | 0.903477
13600    | 9.310604        | 1.856578        | -0.00000000014003376236        | 0.903070
13700    | 9.286947        | 1.851362        | -0.00000000016166801231        | 0.903029
13800    | 9.277771        | 1.850245        | -0.00000000018052936923        | 0.903010
13900    | 9.388513        | 1.871939        | -0.00000000019884538460        | 0.903555
14000    | 9.365548        | 1.867348        | -0.00000000023893775847        | 0.903447
14100    | 9.325396        | 1.859961        | -0.00000000014295586936        | 0.902813
14200    | 9.325628        | 1.860017        | -0.00000000011714007542        | 0.903025
14300    | 9.295982        | 1.854347        | -0.00000000010879652734        | 0.902828
14400    | 9.257363        | 1.847137        | -0.00000000010505196713        | 0.902504
14500    | 9.261863        | 1.847785        | -0.00000000006921396789        | 0.902925
14600    | 9.222715        | 1.841314        | -0.00000000008399858586        | 0.902210
14700    | 9.194049        | 1.836037        | -0.00000000000121325172        | 0.901994
14800    | 9.234277        | 1.843940        | -0.00000000006356692950        | 0.902589
14900    | 9.219244        | 1.842019        | -0.00000000004179590007        | 0.902446
15000    | 9.202326        | 1.838945        | -0.00000000000964561764        | 0.902351
15100    | 9.239028        | 1.845996        | 0.00000000002475886163        | 0.902402
15200    | 9.257881        | 1.849216        | -0.00000000002468603100        | 0.902739
15300    | 9.263386        | 1.850162        | -0.00000000003652012026        | 0.903124
15400    | 9.235023        | 1.844466        | 0.00000000007862865914        | 0.902843
15500    | 9.214452        | 1.841227        | 0.00000000016082246646        | 0.902899
15600    | 9.195840        | 1.837590        | 0.00000000018027535020        | 0.902936
15700    | 9.171434        | 1.832816        | 0.00000000024902213625        | 0.902536
15800    | 9.145097        | 1.827285        | 0.00000000020557777702        | 0.902432
15900    | 9.150841        | 1.828443        | 0.00000000018105694721        | 0.902522
16000    | 9.126580        | 1.823515        | 0.00000000018612489328        | 0.902512
16100    | 9.105724        | 1.819585        | 0.00000000017451107226        | 0.902237
16200    | 9.104051        | 1.819193        | 0.00000000016662582425        | 0.902349
16300    | 9.105125        | 1.819038        | 0.00000000021818635787        | 0.902591
16400    | 9.092210        | 1.817400        | 0.00000000030790658911        | 0.902354
16500    | 9.060687        | 1.810535        | 0.00000000029758773223        | 0.902281
16600    | 9.109973        | 1.818970        | 0.00000000030180657973        | 0.902649
16700    | 9.139323        | 1.824391        | 0.00000000031152502800        | 0.903042
16800    | 9.119471        | 1.820924        | 0.00000000040492942333        | 0.902698
16900    | 9.121841        | 1.822233        | 0.00000000052995297040        | 0.902653
17000    | 9.139256        | 1.825296        | 0.00000000052458837274        | 0.902781
17100    | 9.129444        | 1.822946        | 0.00000000058256688362        | 0.902912
17200    | 9.112193        | 1.819625        | 0.00000000066376060204        | 0.902710
17300    | 9.090393        | 1.815308        | 0.00000000077380946095        | 0.902842
17400    | 9.055403        | 1.809687        | 0.00000000069729111374        | 0.902075
17500    | 9.046287        | 1.807378        | 0.00000000070554939668        | 0.902071
17600    | 9.065659        | 1.810848        | 0.00000000074632922065        | 0.902494
17700    | 9.054253        | 1.808521        | 0.00000000076385298087        | 0.902699
17800    | 9.037721        | 1.806164        | 0.00000000076983575070        | 0.902542
17900    | 9.015175        | 1.802491        | 0.00000000084338225292        | 0.902253
