Tempo   |   E[N]           |   E[W]           |     Erro_little               |  Ocupação

100     | 33.033342        | 6.352566         | -0.00000000000012789769       | 0.999265
200     | 38.033832        | 7.363762         | -0.00000000000020605739       | 0.998285
300     | 49.777077        | 9.597123         | 0.00000000000059685590        | 0.999569
400     | 60.200089        | 11.627250        | -0.00000000000192557081       | 0.999195
500     | 65.703505        | 12.842749        | -0.00000000000268585154       | 0.999301
600     | 66.805897        | 12.997256        | -0.00000000000147792889       | 0.999697
700     | 68.632371        | 13.491339        | 0.00000000000279953838        | 0.999716
800     | 62.147246        | 12.386098        | 0.00000000000649436060        | 0.992023
900     | 55.665978        | 11.165451        | 0.00000000000247979415        | 0.980115
1000    | 51.336360        | 10.300233        | 0.00000000000359534624        | 0.976543
1100    | 48.141953        | 9.649444         | 0.00000000000750333129        | 0.975880
1200    | 48.789630        | 9.770954         | 0.00000000000465405492        | 0.977838
1300    | 47.883800        | 9.551778         | 0.00000000000118660637        | 0.979844
1400    | 47.313889        | 9.396999         | 0.00000000000889599505        | 0.981191
1500    | 48.875520        | 9.738746         | 0.00000000001767830327        | 0.982551
1600    | 50.794285        | 10.097013        | 0.00000000001738698074        | 0.983473
1700    | 55.316096        | 10.989525        | 0.00000000001368505309        | 0.984406
1800    | 60.793560        | 12.068866        | 0.00000000000630251407        | 0.985213
1900    | 65.304320        | 12.973464        | 0.00000000000285638180        | 0.986301
2000    | 69.877236        | 13.758070        | 0.00000000001152500317        | 0.986790
2100    | 76.612102        | 15.103775        | 0.00000000001692512797        | 0.987345
2200    | 83.116269        | 16.398152        | 0.00000000002839328772        | 0.987915
2300    | 89.043644        | 17.593023        | 0.00000000002576427960        | 0.988428
2400    | 92.766034        | 18.348317        | 0.00000000001858779797        | 0.989019
2500    | 96.856046        | 19.162719        | 0.00000000002468425464        | 0.989644
2600    | 101.159669       | 19.999630        | 0.00000000001280398010        | 0.989774
2700    | 105.752229       | 20.913427        | 0.00000000001610089839        | 0.990469
2800    | 109.900672       | 21.751741        | 0.00000000002094679985        | 0.990527
2900    | 112.566191       | 22.296425        | 0.00000000005378808510        | 0.990959
3000    | 112.681624       | 22.400429        | 0.00000000004527578312        | 0.991273
